question,options,answer,explanation
消化管ホルモンである「セクレチン」の主な作用として正しいものはどれか。,胃酸分泌の促進|膵液（重炭酸イオン）の分泌促進|胆嚢の収縮|インスリンの分泌抑制|食欲の増進,膵液（重炭酸イオン）の分泌促進,セクレチンは十二指腸のS細胞から分泌され胃酸分泌を抑制し膵液（重炭酸イオン）の分泌を促進する。ガストリンは胃酸分泌促進、コレシストキニン（CCK）は胆嚢収縮と膵酵素分泌促進を行う。
膵臓のランゲルハンス島から分泌されるホルモンの組み合わせで正しいものはどれか。,A細胞（α細胞）— インスリン|B細胞（β細胞）— グルカゴン|D細胞（δ細胞）— ソマトスタチン|G細胞 — ガストリン|PP細胞 — セクレチン,D細胞（δ細胞）— ソマトスタチン,A細胞からはグルカゴン（血糖上昇）、B細胞からはインスリン（血糖低下）、D細胞からはソマトスタチン（分泌抑制）が分泌される。
消化管壁の基本構造において「アウエルバッハ神経叢（筋層間神経叢）」が存在する部位はどれか。,粘膜層|粘膜下層|固有筋層の間|漿膜下層|漿膜,固有筋層の間,消化管壁は内側から粘膜・粘膜下層・固有筋層・漿膜（または外膜）からなる。マイスネル神経叢は粘膜下層、アウエルバッハ神経叢は固有筋層（内輪走筋と外縦走筋の間）に位置し蠕動運動を制御する。
小腸で吸収される栄養素について正しい組み合わせはどれか。,鉄 — 回腸|ビタミンB12 — 十二指腸|胆汁酸 — 回腸末端|脂質 — 胃|タンパク質 — 大腸,胆汁酸 — 回腸末端,胆汁酸とビタミンB12は回腸末端で吸収される。鉄やカルシウムは主に十二指腸から空腸上部で吸収される。
肝臓および胆道系の解剖について正しい記述はどれか。,胆嚢管は総肝管と合流して総胆管となる|肝臓の機能血管は肝動脈である|オッディ括約筋は胆嚢の出口にある|左右の肝管が合流して胆嚢管となる|胆汁は胆嚢で産生される,胆嚢管は総肝管と合流して総胆管となる,左右の肝管が合流して総肝管となり、そこに胆嚢管が合流して総胆管となる。肝臓の機能血管は門脈、栄養血管は肝動脈。胆汁は肝臓で作られる。
胃底腺の「壁細胞」から分泌される物質はどれか。,ペプシノーゲン|ガストリン|内因子|粘液|セクレチン,内因子,壁細胞からは塩酸（胃酸）と内因子（ビタミンB12吸収に必要）が分泌される。主細胞からはペプシノーゲン、G細胞からはガストリンが分泌される。
副交感神経（迷走神経）が刺激された生体反応として正しいものはどれか。,瞳孔散大|心拍数増加|消化管運動の促進|気管支拡張|血管収縮,消化管運動の促進,副交感神経は「休息と消化」の神経であり消化管の運動や分泌を促進する。交感神経刺激では瞳孔散大・心拍増加・消化管運動抑制が起こる。
門脈圧亢進症の原因となりうる病態はどれか。,早期胃癌|肝硬変|逆流性食道炎|十二指腸潰瘍|大腸ポリープ,肝硬変,肝硬変により肝臓内の血管抵抗が増大すると門脈圧が上昇し食道静脈瘤や腹水などの原因となる。
ヘリコバクター・ピロリ感染との関連性が低い疾患はどれか。,慢性胃炎|胃底腺ポリープ|胃MALTリンパ腫|早期胃癌|消化性潰瘍,胃底腺ポリープ,胃底腺ポリープはピロリ菌陰性の萎縮のない胃粘膜に発生しやすい。他はピロリ菌感染と強く関連する。
消化管間質腫瘍（GIST）の起源となる細胞はどれか。,杯細胞|パネート細胞|カハール介在細胞|壁細胞|線維芽細胞,カハール介在細胞,GISTは消化管運動のペースメーカー細胞であるカハール介在細胞由来の粘膜下腫瘍（SMT）である。
クローン病の特徴的な内視鏡所見はどれか。,連続性の病変|敷石像|血管透見像の消失|直腸からの上行性病変|鉛管像,敷石像,クローン病は縦走潰瘍や敷石像、非連続性（飛び石状）病変が特徴。連続性病変や血管透見像消失は潰瘍性大腸炎の特徴である。
食道静脈瘤の内視鏡所見において出血リスクが高い「赤色所見（Red Color sign）」に含まれないのはどれか。,ミミズ腫れ様発赤（Rw）|桜桃赤色班（CRS）|血豆様発赤（HCS）|白色血栓（White plug）|びらんのない白色調,びらんのない白色調,白色調（Cw）は静脈瘤の基本色調の一つであり赤色所見（RCサイン）ではない。RCサインや白色血栓は出血リスクが高い所見である。
マロリー・ワイス症候群の好発部位はどれか。,食道入口部|食道胃接合部|胃体部大彎|十二指腸球部|回盲部,食道胃接合部,激しい嘔吐などによる腹圧上昇で食道胃接合部付近の粘膜に縦走方向の裂創が生じ吐血する疾患である。
早期胃癌の定義として正しいものはどれか。,病変が2cm以下のもの|リンパ節転移がなく粘膜内にとどまるもの|リンパ節転移の有無にかかわらず浸潤が粘膜下層までのもの|遠隔転移がないもの|内視鏡で切除できたもの,リンパ節転移の有無にかかわらず浸潤が粘膜下層までのもの,消化管の早期癌の定義は深達度が粘膜下層（SM）までにとどまるものでありリンパ節転移の有無は問わない（食道・胃・大腸共通）。
急性膵炎の二大成因はどれか。,アルコールと胆石|高脂血症と薬剤|ウイルスと外傷|自己免疫と腫瘍|妊娠と高カルシウム血症,アルコールと胆石,本邦における急性膵炎の原因はアルコール性と胆石性が大半を占める。
現在、日本で最も頻度が高い胆石の種類はどれか。,黒色石|ビリルビンカルシウム石|コレステロール石|脂肪酸カルシウム石|炭酸カルシウム石,コレステロール石,食生活の欧米化に伴いコレステロール結石が増加し現在は最も頻度が高い。
食道アカラシアの病態として正しいものはどれか。,下部食道括約筋（LES）圧の低下|下部食道括約筋（LES）の弛緩不全|胃酸逆流による炎症|食道粘膜の萎縮|食道運動の亢進,下部食道括約筋（LES）の弛緩不全,アカラシアは嚥下時にLESが弛緩せず食道体部の蠕動運動が消失するため食物が胃へ通過しにくくなる疾患である。
偽膜性腸炎の原因菌として最も一般的なものはどれか。,カンピロバクター|サルモネラ|クロストリディオイデス（クロストリジウム）・ディフィシル|黄色ブドウ球菌|腸管出血性大腸菌,クロストリディオイデス（クロストリジウム）・ディフィシル,抗菌薬投与後の菌交代現象として発生し、内視鏡では黄白色の偽膜が観察される。治療にはバンコマイシン等が用いられる。
ベンゾジアゼピン系鎮静薬（ミダゾラムなど）の拮抗薬はどれか。,ナロキソン|フルマゼニル|アトロピン|プロタミン|アドレナリン,フルマゼニル,ベンゾジアゼピン系の拮抗薬はフルマゼニル（アネキセート）である。ナロキソンはオピオイドの拮抗薬。
プロポフォールの特徴として誤っているものはどれか。,鎮痛作用がある|覚醒が速やかである|特異的な拮抗薬がない|呼吸抑制に注意が必要である|大豆・卵アレルギー患者には禁忌,鎮痛作用がある,プロポフォールは鎮静作用は強いが鎮痛作用はない。疼痛を伴う処置では鎮痛薬（オピオイド）を併用する。
鎮痙薬「ブチルスコポラミン臭化物（ブスコパン）」が禁忌となる疾患はどれか。,高血圧|糖尿病|緑内障|胃潰瘍|胆石症,緑内障,抗コリン作用により眼圧上昇や排尿障害をきたすため緑内障、前立腺肥大症、心疾患の一部などには禁忌である。
抗血栓薬服用者に対する消化器内視鏡診療ガイドラインにおいて、アスピリン単剤服用者が高危険度処置を受ける場合の対応として適切な傾向はどれか。,必ず7日間休薬する|ヘパリン置換を必須とする|血栓塞栓症リスクを考慮し継続または休薬期間を短縮して行う|処置当日の朝まで倍量服用する|処置後すぐにワルファリンに変更する,血栓塞栓症リスクを考慮し継続または休薬期間を短縮して行う,近年のガイドラインでは血栓リスクの高い患者ではアスピリン継続下での処置や休薬期間の短縮（3-5日）が考慮される。一律7日休薬ではない。
